Exercise_ID,Exercise_Name,Exercise_Area
1,Incline Bench Press (Barbell),chest
2,Weighted dips,chest
3,Incline Bench Press,chest
4,Squat (Barbell),squat
5,Leg press (hinge ),squat
6,Good Morning (Barbell),squat
7,Squat,squat
8,Leg press,squat
9,Good Morning,squat
10,Chin Up,back
11,Lat Pulldown,back
12,Seated Cable Row (close Grip),back
13,Rear delt fly,back
14,Seated Row,back
15,Hammer Curl,back
16,Hammer Curl (Dumbbell ),back
17,Glute extension.,squat
18,Seated Military Press,chest
19,Seated Shoulder  Press (Barbell),chest
20,Leg outward fly,squat
21,Seated Military Press (Dumbbell),shoulder
22,Lateral Raise,shoulder
23,Seated Shoulder Press (Dumbbell),shoulder
24,Lateral Raise (Dumbbells),shoulder
25,Bicep Curl (Barbell),back
26,T-bar Row,back
27,Bicep Curl (barbell ),back
28,Incline Press (Dumbbell),chest
29,Tricep pushdown,chest
30,Tricep Extension,chest
31,Bent Over Row (Dumbbell),back
32,Leg curl,squat
33,Cycling,squat
34,Military Press (Standing),chest
35,Shoulder Press (Standing),chest
36,Deadlift (Barbell),squat
37,Deadlift,squat
38,Hammer back row wide 45 angle,back
39,Hammer lat pulldown,back
40,Rotator cuff work.,chest
41,Shrugs (dumbbell),back
42,Hammer seated row,back
43,Hammer seated row (CLOSE GRIP),back
44,Pull Up,back
45,Hammer shoulder press,chest
46,Overhead Press (Dumbbell),chest
47,Overhead Press (Barbell),chest
48,Bench Press (Barbell),chest
49,Hammer Decline Chest Press,chest
50,Front Squat (Barbell),squat
51,Lateral Raise (Dumbbell),chest
52,Leg Extension (Machine),squat
53,Landmine Press,chest
54,Bicep Curl (Dumbbell),back
55,Romanian Deadlift (Barbell),squat
56,Neutral Chin,back
57,Skullcrusher (Barbell),chest
58,Lat Pulldown (Cable),back
59,Rope Never Ending,
60,Face pull,back
61,Front Raise (Dumbbell),
62,Deadlift - Trap Bar,squat
63,Stairmaster,back
64,Hammer Row Stand 1armed,back
65,Sling Shot Bench,shoulder
66,Sling Shot Incline,
67,Hack Squat,squat
68,Hammer Row - Wide Grip,back
69,Shrugs,back
70,Rack Pull - 1 Pin,leg
71,Hammer High Row - 1 Arm,back
72,Rack Pull 2 Pin,back
73,kettlebell Swings,leg
74,close grip Bench,shoulder
75,Low Incline Dumbbell Bench,
76,sumo deadlift,leg
77,lying Skullcrusher,
78,high bar squat,leg
79,curl ez bar,back
80,Curl Dumbbell,back
81,Lat Pulldown Closegrip,
82,Cable Fly,shoulder
